Wavelength;Counts
300;0.0008952279875240863
301;0.0009464941061847819
302;0.0011173509972499675
303;0.0010609849127468146
304;0.0007203902636064327
305;0.0003588628306246287
306;0.0007257641339574143
307;0.0009882530897733065
308;0.0013695142355357893
309;0.001163117459714558
310;0.0015545785371620174
311;0.0015551114576334677
312;0.0018133072725867701
313;0.0014317796665885944
314;0.0011996166013191738
315;0.001497805318032512
316;0.001606857204718451
317;0.0014311135159993022
318;0.0017397760689061479
319;0.0026888281933537903
320;0.0030884374586712376
321;0.004198023887721503
322;0.007204663613269906
323;0.012086707539905761
324;0.02109059443677095
325;0.032140924634748505
326;0.048400898775410615
327;0.074193977573384
328;0.10560447578684318
329;0.13207569715205508
330;0.15597507955195578
331;0.17042018120576835
332;0.1669186262897147
333;0.14591214983489675
334;0.11044784960254594
335;0.0775992864452526
336;0.045611326375986194
337;0.024936143638397468
338;4.9280979254939794e-05
339;-0.014909867315941572
340;-0.013756700953243106
341;0.000803490126771389
342;0.021754606634748597
343;0.03919405477209015
344;0.061413399421854975
345;0.08773082235653562
346;0.11166568150864786
347;0.1379594193020408
348;0.15786086336966443
349;0.16527896281388155
350;0.16526148831541365
351;0.1466117466791153
352;0.12566598820510358
353;0.10506326245943812
354;0.09198204397597903
355;0.0768360211109366
356;0.06497383237990251
357;0.054098467640616904
358;0.0437362202014067
359;0.03593860473427271
360;0.029271029639698173
361;0.023771926279392563
362;0.019333785104969525
363;0.016952570876400577
364;0.015247864872374478
365;0.013193864303161648
366;0.013279558639160832
367;0.012546821106646136
368;0.010243682794310718
369;0.008413471782784815
370;0.007402628775711365
371;0.005794235122082207
372;0.004917840377880338
373;0.004350754741377874
374;0.0042185945114200235
375;0.0031651645237977394
376;0.0031134614934196364
377;0.002422281906529017
378;0.0021784655298021233
379;0.0029312910330224276
380;0.0029387891409863587
381;0.0029978198278467066
382;0.003463078569210555
383;0.0042422906646939935
384;0.004000346559844006
385;0.004676854784386619
386;0.0057573461412717825
387;0.005111282542893857
388;0.005853215317816345
389;0.006782424014321511
390;0.006916858570785275
391;0.0063402117190717415
392;0.007604054981847734
393;0.007118408134591917
394;0.007602159983106642
395;0.008493278220865663
396;0.008986073252665537
397;0.008813264151652758
398;0.009140557355033522
399;0.009462336013672686
400;0.009198538271634285
