Wavelength;Counts
442;0.009089607873461086
443;0.011277679108753729
444;0.011568591838950471
445;0.012424158500291264
446;0.013744394302322042
447;0.01205205678553286
448;0.0118546648607576
449;0.011191469363366329
450;0.013135913469475912
451;0.012846033792616071
452;0.011239554114491302
453;0.012696921422869724
454;0.014123896102472944
455;0.011987995484589996
456;0.010589449770389453
457;0.010753640560062961
458;0.011229262064706057
459;0.010709351868176804
460;0.013277851118830442
461;0.015344519622318541
462;0.02440296197552499
463;0.040827236072807874
464;0.08327302304659358
465;0.14485158456475408
466;0.2567562478626677
467;0.423184073475242
468;0.6336667079140084
469;0.8404828153051841
470;0.9498529487404638
471;0.9934891428601297
472;0.9903758573726507
473;0.9960341401550734
474;0.9398804178418972
475;0.8678209342505353
476;0.8227892734112771
477;0.7291962608556657
478;0.6773430979963759
479;0.6921071896127003
480;0.702940032044621
481;0.6744556025608587
482;0.5988553578660853
483;0.5015165758635447
484;0.38473141811038947
485;0.306876602777541
486;0.25411554257345015
487;0.2055530450981746
488;0.16659165230478834
489;0.13775323169057863
490;0.11265183837848942
491;0.09641121943925704
492;0.08655958243740802
493;0.07549913697900307
494;0.06253122546965975
495;0.05745518230795286
496;0.0506154326550345
497;0.0423281766042308
498;0.036257788146640296
499;0.0324724445205618
500;0.030737249208518114
501;0.02808064721009605
502;0.029660450298484457
503;0.02717524161323527
504;0.027596742627046523
505;0.026804155377643156
506;0.02423637964916134
507;0.025978773797976466
508;0.026772804499922476
509;0.02493272373873442
510;0.022025911917067046
511;0.02404283166746608
512;0.02315021725974861
513;0.021887378928374727
514;0.022353939806618525
515;0.024257220831903094
516;0.024205671036806573
517;0.022896578536313113
518;0.0249071662259735
519;0.02641057793714919
520;0.026440149210784854
521;0.027452983580434125
522;0.027508510556476413
523;0.029139194651709315
524;0.028010250420809322
525;0.027156844467344628
526;0.02824639153332263
527;0.029285261687151107
528;0.02903779676969582
529;0.02727937889788528
530;0.028345517495886853
531;0.026114228348785493
532;0.025276580798802722
533;0.024127645307948056
534;0.024499304243413452
535;0.025226774728262156
536;0.02398615078936989
537;0.023550347672149176
538;0.024442329117265897
539;0.02247027284700253
540;0.0201352359717467
541;0.018379194666512635
542;0.016829358039686545
543;0.016639755384791646
544;0.01477014114597864
545;0.015654953535487813
546;0.015227074111307417
547;0.01430905767477229
548;0.012585088460415986
549;0.012394919827446935
550;0.01237605389163653
551;0.01125164411733537
552;0.010136667310939413
553;0.010960165409064438
554;0.010695099010928012
555;0.009472209051696386
556;0.008349308552260168
557;0.009409951463522052
558;0.010012152134590677
559;0.007708621372138234
560;0.006973793172322314
561;0.006404985207638136
562;0.007324888237754172
563;0.004227856215115309
564;0.0023465450961002742
565;0.0022390092619808434
566;0.0016537879331415231
567;0.0004358031172207158
568;0.0
